drugName,condition,review,rating,rating_category,review_length,positive_word_count,negative_word_count
Bupropion,Depression,f/26 wellbutrin sr 100 mg twice a day i feel so much better i ve tried many different ss/snris over the past 12 years they all made me have extreme suicidal thoughts i had kind of given up hope on finding something that worked for me but then a new psychiatrist recommended trying wellbutrin the first week or so was rough i had blurry vision shakes extreme light sensitivity those negative side effects went away after weeks i'm months in my mood has significan'tly increased which is just amazing because my depression worsens significan'tly in the winter i feel opti'mistic for the future my sex drive is better i have more energy am more focused i have fibromyalgia as well so this is huge for me and i ve quit smoking,10,positive,131,1,0
Lisinopril,High Blood Pressure,i'm a 27 year old white male in good shape but have always had high blood pressure i'm guessing genetic my blood pressure would run anywhere from 130-160 over 85-105 the doctor tried a diuretic which did nothing and then a beta blocker which had horrible side effects they finally tried 10 mg of lisinopril and wow how great it almost i'mmediately brought my blood pressure to 118/80 s i actually cut my dose to mg in the morning and mg at lunch and my blood pressure stays perfect all day and night i have had no side effects what'soever and wouldn't even know i was taking any medication if it we'ren t for my lowe'red blood pressure highly recommend,10,positive,120,3,1
Empagliflozin,Type 2 Diabetes,i have been taking jardiance for just over a year - i have not experienced any side effects what'soever - more i'mportantly this drug has reduced my blood sugar levels to an average of and has maintained this level quite incredible as nothing else has worked previously - i have named jardiance as the diabetic wonder drug although my doctor keeps reminding me there is no such thing as a wonder drug - i disagree this is my wonder drug - thank you jardiance you have changed my life completely astonishing result,10,positive,92,0,0
Metoprolol,High Blood Pressure,i have been on metoprolol er 12 mg since september 20th the first month was great then on october 21st my resting heart rate went from 61 to 70 and when i walk it suddenly goes to 140 for no reason i work out days a week and it doesn't make any sence to me going back to my doctor tomorrow to figure it out i just don't see why all of a sudden it would make things 10x worse i didn't take it today to see if it would help i was able to exersice without my heart rate sky rocketing to ridiculous numbers this is the first medication like this i have ever taken plus the weight gain is ridiculous i lost 15 lbs before starting this medication and less then months i gained it all back,2,negative,139,1,0
Fluoxetine,Depression,after being suicidal for many months and self harming in addition to extreme anxiety i had taken prozac years earlier and didn't work at all has now almost eli'minated my depression i feel happier than i have in years the only downside is i have gained about 20 lbs my lowest weight was 133 considered healthy for someone and athletic but despite my clean eating and exercise i ve blown up to 163 lbs in years and nothing seems to get the weight off this has been my only negative side effect i choose my mental health over my body i'mage although i also have an eating disorder bdd,8,positive,109,0,0
Victoza,Type 2 Diabetes,i ve been on victoza for 13 days and have lost lbs i ve also been following a low carb diet maintaining 50 g of carbs on a daily basis i ve also worked out only mildly at - ti'mes a week so far feeling great lots of energy only side effects we're nausea the first days and some mild constipation,10,positive,61,1,0
Trazodone,Depression,it has worked so far for me and i would recommend it to anyone suffering with depression,7,positive,17,0,0
Pristiq,Depression,this will be my third week on pristiq 50 mg and so far i'm feeling quite positive and free of depressive feelings however that's only if i get a good night s sleep i have tried one temazapam which works well but after the third day the build up in my system makes me feel very fatigued,6,neutral,57,2,0
Levomilnacipran,Depression,i have had severe depression since my teens and have been on antidepressants for many years fortunately i have had beneficial effects from several over the years the most effective treatment to date has been a combination of wellbutrin and cymbalta i took that combination for ten years and unfortunately i recently started slipping downward increased depression and feeling out of control i was prescribed fetzi'ma transitioned off cymbalta and completed the starter pack with the only benefit being increased energy my dr then increased the doseage to 80 mg and have been at 80 mg for two weeks i have never felt for lack of a better word so crazy in my life i have been so irretiable angry depressed and unreasonable and feeling,1,negative,125,1,0
Liraglutide,Type 2 Diabetes,i have only been on victoza for less than a week now and already huge difference in my levels prior to victoza i was on 2000 mg metforming mg onglyza following a low carb diet that brought my levels down to an average of about 14 while fasting since being on the victoza the highest reading i have had so far is a 12 which for me is incredible i can't wait to see what i will be at over the next month i am not focusing on the weight loss at the moment if it happens awesome but i'm most concerned about my sugars as for side effects i have had very mild nausea and that's all,10,positive,118,0,0
Liraglutide,Type 2 Diabetes,started this last night i have zero appetite how is this possible i love food but i don't really feel like eating all i ve had today is some grapes i have a sandwich in my lunchbox but i don't have any appetite i haven't had any of the side effects so far i started with the dose the pen is really easy to use compared to my intramuscular testosterone however this drug is ridiculously expensive even with good insurance i would have to pay almost 400 a month fortunately another serious illness pushed me over my out-of-pocket annual so i filled the script for due to politics i'may have no insurance next year anyway so far so good with victoza,10,positive,121,2,0
Desvenlafaxine,Depression,i have been taking 50 mg of pristiq for about weeks now and just started taking 100 mg a couple days ago i am 31 yrs old but have been on antidepressants for 10 yrs i ve tried many ssri s lexapro for several yrs and never felt much better at all i remained depressed and began to try to accept that this is just what my life would be finally about months ago my drs office began doing genetic testing which can guide them on what medicines your body will respond best to so pristiq it was i think my mood has lifted somewhat i'm really hoping it will i'mprove even more as studies show full benefits take - weeks,8,positive,121,1,0
Cymbalta,Depression,i have only been on this for weeks but i can seriously notice a difference i am 21 and for about years after a traumatic event i have been suffering from severe depression i have always had pain and always been to tired to do anything but lay in bed and cry i can now say i am happy finally happy i can't remember a ti'me i was ever like this i am motivated active and enjoying life it works quick i do however have mild headaches everyday and multiple nightmares every night i am told these will subside it s pricey but i really think its worth it good luck to everyone,8,positive,113,2,0
Exenatide,Type 2 Diabetes,i was on bydureon for about months i really noticed the loss of appetite and lost my sweet tooth my weight came down and my blood sugar levels dropped from to i was really happy with the medicine until the known side effects started to show they we're nausea this happened approx once a week in the fourth week in on taking the medicine and bloating indigestion a lot of passing wind and acidy burps also i felt a bump and itchy feeling around injection area whenever i injected if they can sort out these side effects then it would be really fantastic for people with type diabetes i was really reluctant to stop but the horrible nausea beat me,6,neutral,120,1,1
Bydureon,Type 2 Diabetes,within weeks saw blood glucose more than half to good levels i ve not seen for years literally no major side effects - felt sick twice within a day or two of first dose but apart from that all ok injecting in fatty tissue of stomach hardly any pain very well designed device and needle almost painless i would recommend this for t2s who have gone to max on oral meds and need that extra help this really is the magic bullet for me i can handle weekly injections but not daily that's too much i'mho,10,positive,96,1,1
Victoza,Type 2 Diabetes,i have been a type diabetic for 10 yrs now i tried victoza in may 2016 as of today sept 24th i have lost 45 pounds i'm down to metformin a day and my a1c is great the side effects are mini'mal mainly sour stomach but that can be controlled mostly by diet low starch foods help alot i'm so glad after trying a few newer meds that i found victoza,10,positive,71,1,0
Victoza,Type 2 Diabetes,all the side effects,1,negative,4,0,0
Escitalopram,Depression,i ve been on lexapro for several years i have to say for some the initial side effects can be overwhelming but stick with it because it will help most of us you can'train yourself to overcome the sexual side effects and weight gain can be controlled through proper exercise and diet i'm not an active person but have to remind myself to hit the gym several ti'mes a week doing so will greatly and positively affect your mood as well so just pretend like you have no choice and go also please remember there is no magic pill we have to take responsibility for our own happiness which includes lots more than just taking antidepressants hope this helps some,8,positive,120,0,0
Venlafaxine,Depression,worked for weeks then stopped,1,negative,5,0,0
Nardil,Depression,this medication is brilliant completely got rid of my depression and social phobia i take 75 mg/day the ssri s didn't really work was laying on the bed all day thinking of suicide and death after i started nardil my life completely changed thank goodness for the medication,10,positive,48,0,0
Zoloft,Depression,i was very very bad at one point with my anxieyy and depression and the ocd they we're all working together against me the horrible disgusting thoughts from the ocd was driving me into constant panic attacks and anxiety through the roof which drove me to stay in doors and avoid triggers which then pushed me into a deep deep depression i ve been on zoloft now for about months on a low dose of of 50 mg and i feel much better i was able to go out and get a job which i am excelling at and got three raises in months i have felt a bit of the anxiety and ocd poking out once in a while but i'may need to raise the dose but over all this med had changed my life so far if you are in a rut and are down don't give up you can regain your life back,10,positive,156,0,2
Trazodone,Depression,i take trazodone to help balance the effects cymbalta had on my sleep and to help with my depression my experience has been wonderful helps me fall asleep and sleep restfully together with cymbalta trazodone has completely eradicated my depression,10,positive,40,1,0
Prazosin,High Blood Pressure,using this for parasomnia bph and bp kind of silver bullet but my new doc tried to give me the brand name is it an extended release or just much more expensive i only take it at night and dizziness hasn't been an issue seems to work as well as other bph meds that i have tried my bp has also been reasonable seems to make sleepwalking more infrequent which is why i tried it,6,neutral,75,0,0
Dulaglutide,Type 2 Diabetes,initial use info and review little dizzy and nausea the first day so far blood sugar readings are dropping was around 107-117 now at 83 a1c is at looking forward to dropping that number next a1c read is in mid july no other adverse affects so far this anti-spam verification is ridiculous,8,positive,52,0,0
Methylphenidate,Depression,methylphenidate has changed my life my depression is almost nonexistent now i have also stopped dwelling on problems i take 54 mg methylphenidate xr along with 225 mg effexor xr,10,positive,30,0,0
Escitalopram,Depression,i am a 35 year-old female i ve always been a melancholic person given my family history of anxiety and anger issues but when i was younger i have been able to experience some happiness as i got older and had two kids it got worse i would get angry or sad at a drop of a hat after which i would sink into depression it also became more difficult to manage stress and anxiety i began seeing a therapist who'suggested that i get a physical with my pri'mary care physician and ask if i can get a prescription for anti-depressants i was put on 10 mg of lexapro during the first few days i was light-headed groggy and aware of every sensation in my body i was also very thirsty after a week i felt the benefits i feel happy again,10,positive,142,0,0
Bupropion,Depression,wellbutrin has significan'tly i'mproved my overall concentration above all else for the first ti'me in many years i have been able to actually sit down and read contently without my mind wondering i wish i had this medication before i graduated from university my grades would probably have been much better i take this in combination with cipralex i have had no side effects with this medication,8,positive,67,0,0
Exenatide,Type 2 Diabetes,my a1c is in the normal range now and i have lost 42 lbs all my labs are great due to the weight loss i have been on 10mcg for over years my last a1c was so good last ti'me my doctor wants me to decrease to 5mcg i have been to several dermatologists over the last years trying to figure out why i am having hair loss unhealthy hair and change in texture i never wanted to attribute it to the byetta although the hair loss started a few months after i began taking it i am now so desperate to stop the hair loss i'm considering stopping the byetta i can't decide which would be worse - being bald or gaining back 42 pounds i would really love to know if the person who recently posted had any hair regrowth after stopping byetta,10,positive,145,3,0
Wellbutrin Xl,Depression,i knew it was risky to take an antidepressant given my symptoms but i was having trouble in my daily life and needed help i began taking wellbutrin xl 150 mg and for the first week i felt an increase in suicidal thoughts tremors and psychomotor agitation it felt like i was going to die after that week my psychiatrist added klonopin to help control these side effects since then i have had an i'mprovement in quality of life which is all i can ask for,6,neutral,86,0,0
Metoprolol,High Blood Pressure,i took lopressor for 24 years it worked very well in lowering my blood pressure and even calming my anxiety but lately it doesn't work on me very well as before i guess the doctor will change it,10,positive,38,0,0
Lexapro,Depression,i am a 33 year old mother of who was ready to give up on life started taking 10 mg of lexapro and eventually increased to 20 mg have been taking for about a year and a half although still dealing with a few side effects insomnia weight gain and waking up with headaches lexapro has truly saved my life i can now be the kind of mother and wife that my family deserves,9,positive,74,0,0
Pristiq,Depression,i took pristiq for a month one pill a day i'm currently tapering myself off of it now because it has caused the following effects loss of any emotion uncontrolable shaking inability to feel hungry or full inability to feel pain i'm 16 and this anti depressant is for 18 but my gp thought it was a good idea to prescribe it for me i don't think i ll ever take another anti depressant again i d rather feel everything than nothing,1,negative,82,1,0
Zoloft,Depression,i have been taking zoloft for 10 years i take 100 mg daily i have found that all of my symptoms have di'minished in ti'mes real stress i take an extra pill all i can say is that none of the previous drugs i took helped me at all i have depression and post traumatic stress disorder at age 59 i still react to anything that'sounds like gunfire i spent 33 years working for the government in the army the rest in law enforcement i have found that i have no issues to deal with i did once while out of the country lose my prescription while backpacking it was horrible for me and my two friends i take my pill in the evening before bed no side effects at all i found zoloft to be a god send for me,10,positive,141,0,1
Sertraline,Depression,i was on the sertraline for years after developing a strange phobia with severe anxiety suicidal thoughts and major depression this medication probably saved my life however it only brought me back halfway i still was depressed and still suffered from anxiety attacks just not as much after a couple of years i believed it stopped working even after increasing the dose so i stopped taking it,6,neutral,67,0,0
Exenatide,Type 2 Diabetes,i started bydueron 10 weeks ago i was fine the first weeks on week i became extremely ill vomiting explosive diarrhea gas pains and bloating like never before long flatulence every few minutes how embarrassing and sulfur-tasting belching like rotten eggs endo dr said it wasn't the med i went to my pri'mary doctor because i wasn't sure if it was a virus all of my tests came back negative third week same thing i decided not to take the injection and notified endo she told me to stop metformin and resume shot last week had shot and condition worsened she finally told me to stop the injections it s been four weeks of suffering not worth it this stuff is poison to me,1,negative,124,0,0
Venlafaxine,Depression,helped a ton post-partum suffered depression long after both my babies we're born insomnia is common and i took sleep aids for the first year any tiny disturbance in taking it is not recommended worst i have ever felt the brain zaps are like a special kind of torture and my appetite is si'mply non existent not good for someone already under weight it saved me for a long ti'me but the choice to come off was heavily weighed against the withdrawal symptoms i am suffering through it a week later anxiety getting better but physically there is not much change,9,positive,101,1,1
Viibryd,Depression,i had been on lexapro/celexa/citolopram for the past 10 years maybe a couple more and it was fabulous about a year and half ago it stopped working for me i had tried wellbutrin before the l/c/c and it was horrible for me - like wanting to hide in a corner under a desk paranoia my doctor sugested viibryd after the l/c/c stopped working and so far so good i can't attest to the gi problems and i don't know if i have the night ti'me issues i sleep like a log and am single so no one is there to tell me what is going on while i'm sleeping i do have sleep issues but not related to viibryd i have found that the viibryd doesn't help with anxiety/anger issues so the doctor suggested adding l-theanine and that helps tons,9,positive,140,1,1
Effexor,Depression,started effexor 75 in oct start feeling fantastic beside dry mouth and a bit of nausea doctor up it to 150 mg in november i felt like a whole different person i got my life back but due to some side effects of the drug causing constipation and facial twitching in my lower lip and body jolts doctor tried to ween me off 150 mg taking one pill every second day it was too fast to soon wow just as well if i had done it cold turkey brain zaps crying feeling lost in my own body scared tremors it has been almost weeks with no effexor and i have got vertigo felt like i was going to die today i started taking 150 mg again today and already feel a difference this could be my drug huge difference in mood zapping gone and dry mouth is back i can live with that,9,positive,153,1,0
Zyprexa,Depression,this medication is a great sedative if that's what you're looking for it s not euphoric it just makes you sleepy but it caused me to gain over 40 pounds in less than months i now get depressed just looking in the mirror my doctor says it just makes you hungry not gain weight but the amount of weight i gained in such a short ti'me is unnatural,7,positive,68,1,0
Venlafaxine,Depression,this medication was by far the worst antidepressant have taken the first month i seemed to do very well on it after a year on it i hit rock bottom mentally it caused more terrible symptoms than what was beneficial to me i had weird brain zaps that left me in bed for days sleep disturbances attention seeking behavior as well as ocd that i had never experienced previously it took forever to get off this terrible drug and i call it a terrible drug because your brain and body get physically addicted the way a street drug would you miss day and you start having severe withdrawals sweats extreme brain zaps feeling out of touch w/reality/strange thoughts after a month of being off effexor all of the bad stuff stopped,1,negative,131,0,3
Trulicity,Type 2 Diabetes,started trulicity about months ago at 75 mg in the beginning very queasy complete loss of appetite which was a great thing also belching heartburn/sour stomach i noticed after about months the effects wore off so my doctor put me on mg 1x per week plus the 75 mg 1x per week none of the side effects returned my appetite is back no queasiness weight loss stopped as well as no more sour stomach or belching wonder if anyone else has experienced the effects of the medicine wearing off as well not sure why i am still on it at this point also taking 1000 mg metformin 2x daily invokanna,3,negative,110,1,0
Sitagliptin,Type 2 Diabetes,i have been diabetic since 1989 and have gotten worse over the years my a1c has been cli'mbing steadily i take metformin 2500 mg per day in march my dr started me on januvia also and i can't believe the difference my a1c went from to in months i am also surprised i haven't had any side effects because it seems many meds bother me my problem now is my new health insurance won't cover januvia as of jan 2016 yuck,10,positive,81,0,0
Venlafaxine,Depression,after having a heart attack i became very depressed i have been on lexapro zoloft xanax ativan wellbutrin and buspar none worked and i attempted suicide i have major depession and anxiety disorder so take my comments in stride the right drug for you is out there along with intensive therapy i was switched to effexor xr while in the funny farm after the typical waiting period for it to kick in i can'tell you i am a new man looking at life like i used to it has saved my life and my family it hasn't done much for anxiety so for the first few months after my severe episode i was on seroquel i have now been switched to clonazepam for that issue please consult a proper medical person,10,positive,131,0,0
Cymbalta,Depression,cymbalta does indeed work most who have given it a fair shake know the results and it is seen by reading the comments here most people who quit using cymbalta never gave it a real chance of working properly for most people cymbalta starts working quickly but some may take - weeks or more to get the full effect,9,positive,59,0,0
Desvenlafaxine,Depression,i was on this for weeks broke out in hives- now off of it and on prednisone i also take lamictal so she took me off that too as she didn't know which med was causing the issue if you start itching get to your dr right away,3,negative,48,0,0
Effexor XR,Depression,worked quickly or it was in my head lots of yawning by week very drowsy in the morning on my 90 minute drive to work so started taking it after i got to work which is better for society in general someti'mes restless sleep having said that i had a lot negative thoughts about my life that i don't notice or dwell on now so i am really good with these minor side effects i'm much happier less irritable and family recognized it easily i'm genuinely happy with it and thankfully no nasty side effects thus far,9,positive,97,1,0
Duloxetine,Depression,i take cymbalta for depression and anxiety i ve read a few comments on here and it sounds like a few people may have or had serotonin syndrome it has happened to me in the past when a prior doct didn't pay attention to my meds please be safe cymbalta has helped me a lot i went off for about yrs and have had to go back on,10,positive,68,0,0
Lisinopril,High Blood Pressure,i was just prescribed this medicine days ago for high blood pressure running an average of 139/90 i am 38 with high blood pressure and strokes that run in the family day two and three i have had a severe temporal headache and itchy throat called the doctor but only suggested sinus medication at this ti'me i am taking mg once a day,7,positive,63,0,0
Duloxetine,Depression,i loved cymbalta i felt wonderful no aches and pains no depression i had my life back i was paying 90 for a month supply then it happened my co-pay went to 1000 for a month supply i want to cry i obviously can't afford that'so i got switched to venlafaxine i now have a constant slight headache and it makes me nauseous my anxiety is back dr switched me to prozac yesterday we shall see but what i would not give to have my cymbalta back,10,positive,87,1,0
Rexulti,Depression,i was prescribed rexulti when my daily depression meds began to no longer work for me it started working almost instantly i have been on rexulti along with my daily meds and i have been feeling better then ever,10,positive,39,0,0
Zoloft,Depression,i ve been on zoloft for months now initially i suffered from side effects such as shivering loss of appetite drowsiness and insomnia these symptoms lasted for about three days i was scared at first and planned on trying another medication for anxiety however i called my cousin who is a nurse and she told me to try cutting the pill in half i took my cousins advice and cut the pill in half taking only 25 mg a day which works really well for me i'm 130 lbs i no longer suffer from anxiety after taking zoloft that i realized that i was suffering from depression zoloft alleviates my anxiety and has greatly helped with my depression i now feel more happy and motivated to do things right away without procrastinating life changer,10,positive,134,1,0
Viibryd,Depression,i have never been so upset/embarrassed with outbursts of anger the day before i was screaming at my daughter at a water park as well as my poor son in the airport i can't believe my aggressive behavior i'm getting off of this,3,negative,43,0,0
Quetiapine,Depression,well i am using 400 mg per day together with rexetin paroxetine and fluonxol someti'mes xanax i used to have much more medicine because i have manic depression with tendency to self harm and sleep disorder what i like about this medicine is that i can have kind of d dreams and i can sleep normally but what i dislike is that i have low libido and that's why my boyfriend thinks that'something is wrong with hi'm even when i say that it is just a side effect of medicines i have to take it just seems for me like must to do action without any passion and it is strange because i was very different before with great sex drive,9,positive,121,1,0
Sertraline,Depression,i was on zoloft years years ago for social anxiety and it worked great for me i decided to get off it but slowly all my symptoms came back also got very depressed got back in zoloft months ago and i feel great again i did have to get a night guard from my dentist i chipped two from teeth and cracked a molar from grinding my teeth 200 mg daily,9,positive,71,1,0
Empagliflozin,Type 2 Diabetes,jardiance gave me back pain because i was dehydrated so i decided to drink one glass of coconut water everyday to relieve the pain and it works,9,positive,27,1,0
Venlafaxine,Depression,that was so strange i gave up smoking after 10 years with the help of effexor,9,positive,16,0,0
Trulicity,Type 2 Diabetes,i started trulicity on6- 24-16 so far no side effects i'm used to drinking lots of water so i'm not bothered by the dry mouth i hope this helps me and doesn't give me more kkidney damage ill keep u posted,2,negative,41,0,0
Toprol-Xl,High Blood Pressure,i started taking this medicine in 2006 it works to take the pressure off my heart but it has caused me arthritis in my knees hands and feet now i am in pain most of the ti'me my hands have developed arthritis in both thumbs my feet have it in my toes i tried another astra zeneca product called atacand and it works better but is so expensive i can't afford to buy it,5,neutral,74,1,0
Zoloft,Depression,i'm on 200 mg of zoloft and it has changed my life,10,positive,12,0,0
Losartan,High Blood Pressure,i took 50 mg of cozaar x daily for days had bad dreams lightheaded and dizzy and started having nosebleeds i stopped taking it and i'm calling doctor today,1,negative,29,0,1
Pristiq,Depression,i have suffered from severe anxiety gad and was taking more and more klonopin as ti'me went on i am very sensitive to medication and have tried many different ssri/snri s through the year with horrible side effects finally i had dna testing to see what i would respond to and the result was pristiq i started it several months ago in a small dose i split the pills even though they say don't do this and within a few days my anxiety literally went away i was able to cut my klonopin in / over a two month period the first week or two i was extremely tired but that passed the only side effect i get from ti'me to ti'me is migraines it still amazes me that my anxiety has disappeared i no longer keep klonopin in my pocket,8,positive,141,0,1
Desvenlafaxine,Depression,depression has got worse causing me to miss work have been on 20 different antidepressants over years pristiq didn't help at all for me headaches foggy and nausea also shaky at ti'mes,1,negative,32,0,0
Fluoxetine,Depression,most of my life i have struggled with severe panic attacks general anxiety ptsd moderate depression been on meds twice before until i felt better then i would stop taking them this last ti'me it had been close to a year that i had been suffering again before i decided to reluctantly go back on meds i tried celexa again- it worked kinda okay in the past but this ti'me it made no i'mprovement for me saw the doc who'switched me to prozac- all i can say is wow best yet- i feel like my old happy self after only month 10 mg the first week 15 the second and 20 mg the last two give it ti'me to work be patient- it might make you feel a bit off not better at first but it is a miracle drug these bad feelings will pass hang in there,10,positive,148,1,1
Venlafaxine,Depression,i tried just about everything for depression and venlafaxine was one of the only drugs to help i was so depressed that i jumped off a building for a suicide attempt i wound up paralyzed in a wheelchair venlafaxine took a while to work about moths or so i first took 75 mg but didn't do much it wasn't until i reached 375 mg that i felt the true effects of the drug very very strong antidepressant effects my mind is clear and i'm feeling a warm glow all day my depression so anxiety are gone even though i'm paraplegic i am happy wish they gave this drug to me a long ti'me ago i would not be in a wheelchair you have to really be patient and find the right dose abs then one day you ll wake up and feel great,9,positive,143,1,0
Hydrochlorothiazide,High Blood Pressure,i went on it with my bp at 145/100 several years ago and it lowe'red it while eating a standard american diet a few years ago i started eating a whole foods diet li'miting processed foods and had to take myself off the medicine because i would become faint when standing up fast forward to a trip to vegas in march of 2015 i went off the bus and fell back into the standard american diet having long ago stopped regularly monitoring my bp four days ago i woke up with a headache and called paren'ts to inform them that wouldn't be making to turkey day dinner still had some pills remaining and took 50 mg a day since along with day fast and eating whole foods again it s down to 124/80 after being at 201/113 four days ago i'm reducing to,6,neutral,143,0,0
Liraglutide,Type 2 Diabetes,i started victoza today at only mg i felt so undeniably and utterly unwell that i cannot i'magine even trying it for a second day in summary severe low blood sugar symptoms ravenously hungry and i was also prescribe this for weight loss as well as diabetes headache no energy and a general feeling of being very not well in short i do not recommend this to anyone,1,negative,68,0,0
Aripiprazole,Depression,my doctor gave me weeks of abilify mg as a sample to take in addition to my 450 mg of wellbutrin made me extremely dizzy and had difficulty driving safely due to this,1,negative,33,0,0
Citalopram,Depression,after 13 years of untreated depression anxiety and panic attacks i decided to finally ask for help that came in the form of 10 mg citalopram for the first week 20 mg for another month and boosted up to 30 mg for the next few months in that ti'me i had nothing but bad side effects instead of feeling depressed and sad i just got grumpy and mad i had trouble with my sex drive/performance and the insomnia was ridiculous my partner told me i had changed since starting the medication i have since come off all medication and living happily without,2,negative,102,0,1
Pristiq,Depression,a little over two years due to a job change and move i suffered many anxiety/panic attacks one of them landed me in the er i was then diagnosed with depression i was put on pristiq and with ti'me it started working i took the medication for about 18 months and then very slowly went off i don't like being dependent on medication my main reason for going off was my sex drive you are very li'mited as to what you can'take while on antidepressants i am starting to feel like i am slipping into depression once again so will probably start again pristiq worked wonders for me,9,positive,108,0,0
Azor,High Blood Pressure,i have been on azor for days i also started 60 mg of cymbalta the same night i have had severe headaches from the ti'me i get up until the ti'me i go to bed also diarrhea some ti'mes ti'mes a day azor did stop the pulsating heartbeat sounds i was having in my ears i will see me dr in a few days to discuss what is happening and if i should continue this medication i previously was on cymbalta with no side effects so i don't believe my symptoms are from that medication,7,positive,95,0,0
