drugName,condition,review,rating,rating_category,review_length,positive_word_count,negative_word_count
Liraglutide,Type 2 Diabetes,wow i have been on victoza weeks also take 1000 mg metform daily my blood sugars now range 70-115 losing about per days little nausea first week but gets better amazed and publix grocery store covers this med 100 so it s free with a rx,9,positive,46,0,0
Canagliflozin,Type 2 Diabetes,this medication is awseome i have lost 25 pounds in months my a1c went from 10 to love this medicine feel great belly fat gone down sizes only thing is the cost like giving you a cadillac and taking the tires away 348 00 for 30 pills awful insurance won't pay off most other medicines have had many that do not work over 13 yrs this one works off amaryl mg twice a day my lantus went from 42 down to 22 my novolog from 30 to units a day just so frustrating that insuranse company does not see the savings on the other meds and the true results have been on metformin actos januvia byetta avandia amaryl worked for yrs plus have been on novolog -n levi'mir 70/30 none of these medicines worked,10,positive,134,3,1
Glucophage,Type 2 Diabetes,intestinal effects we're greatly reduced by substituting name-brand glucophage xr for generic metformin various manufacturers and a lower dose of glucophage was sufficient to achieve a si'milar bg effect daily dose reduced from 2000 mg to 1500,9,positive,37,0,0
Effexor,Depression,this medication was the first to have any kind of positive emotional and physical effect on me not all medications work the same on everyone but this one sure worked on me,10,positive,32,0,0
Aliskiren / Hydrochlorothiazide,High Blood Pressure,my blood pressure topped 175/92 to 212/107 and my headaches we're awful been on tekturna hct take in the morning combined with exforge in the evening for a week and huge difference very low blood pressure and swelling from arms face and feet is going down i feel much better not so anxious but i do feel a bit lethargic too that might be because it is combined with prozac i am hoping i will get more energy as ti'me goes on but actually get sleep and not up and down like i was,9,positive,94,0,1
Bupropion,Depression,i have been taking wellbutrin for almost a month now and i have already noticed a change i used to be this really upbeat happy positive person and all of a sudden i was tired all the ti'me couldn't sleep was really sad all the ti'me aggitated really easily and also go snippy with people at the drop of a hat my mom was the one that'said you need to go see the doctor and find out what is going on with you i ve tried other antidepressants this is the only one that works for me,10,positive,97,1,0
Invokana,Type 2 Diabetes,horrible yeast infection,1,negative,3,0,1
Bydureon,Type 2 Diabetes,i am a 70 year old male and have been taking diabetic medication for 10 years or more the last two years i have been increasing my injections with little success in lowering my a1c i started using bydureon weeks ago the first two weeks we're pretty rough nausea tired headache week no ill symptoms blood sugar has averaged 95 i have been taking it to ti'mes a day no lumps needle and pen are pretty inti'midating,10,positive,77,0,0
Trulicity,Type 2 Diabetes,a truly great medicine pardon'the pun helped me lower my blood sugar numbers i'mmensely insurance doesn't cover it so won't be on it long but it has made a huge difference in my quality of life my gp hooked me up with samples otherwise i wouldn't have been able to afford it,9,positive,52,1,0
Effexor XR,Depression,i suffer from depression and anxiety for the last 20 years i ve had counseling and been on many antidepressants prozac wellbutrin paxil etc effexor is the first medication that has noticeably helped i was worried after reading all the negative reviews but tried it anyway i noticed a change after the first week and it has gotten better ever since been on it for two years now and all is good in the world very rarely get sad unless there is a reason for it death break up pet dying also i used to have anxiety talking to more than one person at a ti'me now i can'talk to a room full of people with little to no anxiety,10,positive,120,1,0
Venlafaxine,Depression,i was on venlafaxine for about years i didn't realize until now that i'm off of it all of the side effects i suffered while taking it i had chronic constipation followed by a most recent period of explosive diarrhea anyti'me i'missed a dose or was late in taking it the dizziness and nausea would set in those would disappear after taking the missed dose i gained so much weight i was a little overweight when i started but the pounds kept piling on and we're literally i'mpossible to take off despite a very good diet and exercise i had an intense craving for alcohol to the point of throwing up from excess drinking after a weaning off period i'm on welbutrin now losing weight not drinking and feeling much better,4,neutral,131,1,0
Jardiance,Type 2 Diabetes,for some reason my a1c was increasing my doctor added jardiance to my regi'ment my a1c dropped from to quite quickly after three more months on jardiance my a1c went from to i have also lost about pounds since taking it side effects have been uti and i feel tired and weak quite a bit no energy other than that i ve been good but i don't like feeling like this so will tell my doctor about it today perhaps a small price to pay for such a drop in my a1c it is also very expensive i get samples from my dr at ti'mes but being on medicare and it being a new drug it s pretty costly have to see if it s even on the formulary for 2018 as it always changes the drug co does not give discounts to medicare folks,8,positive,145,1,0
Lisinopril,High Blood Pressure,i was on it for years and the quality of my life deteriorated when i began losing my hair i looked up the side effects of this and i found i'must have been one who was very intolerant to it i had the hacking cough runny nose my voice was hoarse muscle cramps at night incontinence lethargy thin brittle fingernails and insomnia i stopped taking it and all those symptoms are gone i had seen doctors about these symptoms but they dismissed them,3,negative,83,0,0
Lisinopril,High Blood Pressure,months at mg a day a little dizzy at first now take before bedti'me pressure was 160-110 now around 130-80 random dry cough lasts about 10 minutes and goes away quicker if i don't cough real hard also very detailed vivid dreams but not bad or nightmares 52 years old exercise ti'mes a week and 20 lbs overweight for ft don't like pills but feel much better no more pounding heart at rest but need a / hour nap after hr work nap could be age related though i ll stick with this for awhile,9,positive,95,0,1
Duloxetine,Depression,i have been on cymbalta for about months and i'must say it is working pretty good for me i feel normal - no extreme ups or downs i don't feel zombied out as with some other medications i used to have really bad night sweats but that is over now i noticed that i eat much much less than i used to but this is good for me becuase when i was on seroquil and lexapro i gained a lot of weight that i am now trying to lose so overall this has been a good medicine for me i would encourage anyone to at least give it a try the only real drawback at this point is the 35 copay since it is not on my insurance plans preferred drug list,9,positive,132,1,1
Tribenzor,High Blood Pressure,i am currently experiencing negative side effects which include headaches dizziness sneezing runny nose lips tingling joint and muscle pain i did not experience these symptons while i was taking benicar hct and amlodipine,5,neutral,34,0,0
Hydrochlorothiazide / Telmisartan,High Blood Pressure,i ve been taking 80/25 for over a month and it s working fine only side effect i ve experienced is slight dizziness at ti'mes micardis is wonderful,9,positive,28,1,0
Bupropion,Depression,i lost a family member was on last semester of college working part-ti'me and the mild depression i had became a severe problem i had dark thoughts and did not wanted to associate with anyone quit my job and had to apply for public assistance when my depression became a serious problem i am now taking wellbutrin xl 150 mg a day since may 11 and at first i had dry mouth but it only lasted a month i have not lost weight and my appetite is good i am feeling much better but i think that one pill is not enough psychotherapy is also another help that goes hand by hand also i stop smoking a month ago i also had to i'mprove my life style doing exercise a few ti'mes a week meditation aromatherapy and eating habits,9,positive,139,1,0
Zoloft,Depression,zoloft has been a complete hell for two months and a half i ve tried to up the dose to 75 as i was taking 50 with no results but it made me dizzy to the point i couldn't drive nauseous and exhausted also this medication has increased my social phobia a complete hell to those thinking on taking zoloft please consider other options i ve never felt so bad in my entire life now changing to prozac,1,negative,78,0,1
Micardis,High Blood Pressure,on starting 40 mg micardis experienced severe dizziness that lasted about a month eventually subsiding okay for another months then started to have burning and pain in feet and lower legs especially at bedti'me had to stop even though was doing a good job with blood pressure now taking diovan and doing well,2,negative,53,1,0
Toprol-Xl,High Blood Pressure,i have not liked this medication at all i was taking 25 mg of hydrochlorothiazide which worked great to reduce and maintain my blood pressure but a side effect was frequent urination and as a teacher that was a slight nuisance however with generic toprol i have not gotten a decent night s sleep and my blood pressure went higher although i halved the 25 mg pill due to the side effects i also feel anxious and unsettled,2,negative,78,1,0
Amlodipine / Benazepril,High Blood Pressure,tired/sexual dysfunction i e very hard to achieve orgasm,8,positive,9,0,0
Clonidine,High Blood Pressure,i have had high blood pressure since i was 29 now 57 i started having uncontrollable blood pressure and my pri'mary doctor tried different medicines to no avail ended up at the er with 174/120 they couldn't explain why it would go up and down the er doc put me on clonidine and i ve been pretty good since then there is an issue of cotton mouth and it does help me relax at bedti'me but i'm doing better pressure wise and am grateful for this medicine,8,positive,87,1,0
Lisinopril,High Blood Pressure,swollen throat persistent dry cough which caused my blood pressure to increase for that reason lisinopril didn't work for me,1,negative,20,0,0
Avapro,High Blood Pressure,i have been on avapro about a week and do not really have any noticeable side effects beta blockers are much worse for making you tired avapro seems to have helped my blood pressure a little but not as much as my beta blockers the only thing i noticed is a dry cough by i am not sure if that is the avapro or allergies i take 100 mg of co-q10 once a day and that has helped with the side effects of the beta blockers and it may be helping me not see side effects of avapro for anyone who feels fatigue and takes blood pressure medication try co-q10 its got low risk for side effects and tends to helps to bring back energy level that are partially caused by depleted co-q10 when you take blood pressure medication,7,positive,139,0,0
Venlafaxine,Depression,i ve only been on this medication for about weeks that'said i ve slept almost every day since starting it i know sleepiness is a common side effect but this is excessive almost no energy throughout the day nonstop yawning my depression is still there anxiety has been better i just feel very drained and apathetic i ll stick with it for a while longer because i know it will take a while for the full affect to kick in hoping for good results,5,neutral,84,1,0
Bupropion,Depression,great medication prescribed after job loss and bad breakup after laying on the cohch for two months socially isolated i gabe it a try and it certainly has helped me see the brighter side of things and begin to find new motivation in life,9,positive,44,1,1
Bydureon,Type 2 Diabetes,i'm in my fifth week taking injections i ve been on 2000 mg metformin daily for yrs but my a1c has been creeping up over the last year and my fasting blood sugars morning had averaged around 160 and almost never registering below 150 and too often above 170 over the last weeks my fasting sugars have steadily dropped last week they averaged 116 and this week they are averaging 107 i ve experienced sporadic mild nausea and a reduced appetite not as hungry as often and i fill up much faster i'm not a fan of the injections but they're tolerable i ve not followed my weight definitely not gaining and we won't check my a1c for a couple more weeks,8,positive,122,0,0
Amlodipine,High Blood Pressure,reduced my blood pressure significan'tly side effects dry cough and itching but no rash,7,positive,14,0,0
Viibryd,Depression,i'm a 70 year old male in excellent physical shape and retired problem is a depression and bipolar- condition both of which have haunted me pretty much my entire life in 1994 my depression became just unbearable and i started on prozac it worked for a while then it didn't then we tried something else then something else you get the drift my doctor and i decided to try viibryd this is day 10 and i'm taking 10 mg in the morning this medicine is life changing best news is i don't feel any sexual side-effects--actually my sex-drive seems somewhat on the increase who's complaining about that,10,positive,107,2,0
Paroxetine,Depression,been on paroxetine for 10 weeks and still no change still suicidal i also have bi-polar disorder and anxiety issues,1,negative,20,0,0
Diltiazem,High Blood Pressure,couldn't sleep all night had all hallucinations unusual bad dreams nightmares but i did feel the chest pressure ease up and chest pains gone i informed my dr and he i'mmediately told me to stop the medicine this was my first ti'me on this pill diltiazem er 120 mg at bedti'me,5,neutral,51,0,1
Invokana,Type 2 Diabetes,this is a great medication to bring fbs and a1c down if number is all that matters i started getting frequent yeast infections thrush and bladder infections polydipsia and polyuria we're the other nuisance weight loss mainly was from diuresis while i was on this i was plagued with severe depression never heard this anywhere else anyway after stopping the med i am free of depression life is worth living my sugars are under control with insulin and diet,4,neutral,79,1,0
Exforge,High Blood Pressure,i have been taking exforge for 10 years i now have stage kidney failure my doctor told me it was exforge,5,neutral,21,0,0
Victoza,Type 2 Diabetes,i had been on victoza for about almost a year and no one told me that when you start victoza you should eat smaller portions of food anyhow i quit my job so now i have no health insurance i just recently restarted victoza days ago and i am feeling really nauseous and i got stomach sick on the 2nd day however today on my 3rd day i am feeling nauseous still but am eating less had maybe spoonfuls of oatmeal for breakfast and was full i have lost lbs already since sunday i love victoza,10,positive,96,1,1
Valsartan,High Blood Pressure,i have been taking 80 mg of diovan daily for about 10 years my blood pressure remains under control and i have had no side effects at all,10,positive,28,0,0
Dulaglutide,Type 2 Diabetes,have taken the lowest dosage for about a month supplementing 2000 mg metformin and mg gli'meperide daily occasional minor nausea and heartburn no vomiting or diarrhea morning readings we're 140s-200s now typically 70s-90s with one reading of 118 readings hours after breakfast are still usually higher than i would like often above 220 mostly pleased with results will be consulting with my doctors soon,8,positive,64,0,0
Hydrochlorothiazide / Losartan,High Blood Pressure,i was on lisinopril but after a few weeks i developed the dreaded cough side effect it took me over a month and a half to get rid of it my dr switched me to losartan so far it has worked great no side effects other than drowsiness but that's okay with me i take it at night and it helps me sleeps helps with my blood pressure and insomnia kills two birds with one stone most of all i'm just happy to get rid of that lisinopril cough that was making my life miserable,9,positive,95,1,0
Liraglutide,Type 2 Diabetes,i have been using victoza to control my type diabetes and it has been great i have been using it for months and i have lost 26 lbs the only problem i have encountered has been hive like welts at the injection site this did not occur the first ti'me i began using victoza but my insurance company refused to pay for the it until i tried a pill i tried metformin and it was a disaster i suffered many side effects and my blood sugars jumped up to around 220 i was put back on the victoza and since i began injecting the second ti'me i began getting the welt like hives right away now they only come every so often but i have experienced nothing but positive results from victoza,10,positive,132,1,0
Pristiq,Depression,my wife unexpectedly told me she wanted a divorce and i was devastated we have two small boys i instantly saw a psychiatrist who prescribed me 50 mg of pristiq it seemed to help somewhat but i would still breakdown into hysterical crying fits after 15 days she put me on 100 mg and i ve been fine ever since i feel like i can deal with this now i have not had any negative side effects except shaking my leg i do have insomnia but i had that from the anxiety of the divorce and i'm prescribed something to help me sleep i can't say for sure if the pristiq causes the insomnia but i do feel a little amped overall it s better than i thought as i generally don't feel like i'm on something and feel like myself,9,positive,141,0,0
Azilsartan Medoxomil / Chlorthalidone,High Blood Pressure,had been taking telmisartan/hctz 80 25 for the last few years until my doctor recommended me to try edarbyclor 40/25 which i have been taking now for about a week so far since taking i feel a difference in a positive way and my bp has gone down not a lot of water retention and small side effect of a little headache ankle and legs swelling has gone down don't feel like i have elephant legs and ankles anymore i give this a thumbs up so far,10,positive,87,0,0
Benicar,High Blood Pressure,bp dropped over 100 pts for systolic and diastolic pressures after one dose of 20/12 benicar hct no side effects at all has remained below 120/78 for a week at two daily dosages of 20/12 am and pm shortness of breath is gone all leg and feet swelling is gone and no increase in frequency of urination absolutely no side effects and bp taken twice a day am and pm is around 113/63,10,positive,73,0,0
Valsartan,High Blood Pressure,80 mg valsartan is the 1st bp med i have ever taken after taking my second pill i developed an extremely severe headache in the front of my face it subsided the next day but did not go away completely after the 5th pill i experienced pain in my hips knees and fingers that woke me up constantly during the night i took another pill the next morning that evening i developed a severe rash on my face right across the areas where i had my headache did not take another pill after that but still have a headache after not being on it for a week my bp was 148/83 and never really saw much of a difference being on the pill for such a short period of ti'me valsartan made me feel very unwell,1,negative,136,0,0
Exenatide,Type 2 Diabetes,i have been on this medication for months i have lost 20 lbs i have experience serious heartburn to the point of it waking me up from my throat burning i still crave sweets towards the end of my shot wearing out for the week but i continued to lose weight despite eating sweets my doctor reported my sugars we're high both ti'mes after testing alc somewhere in the to range i have started wanting to throw up a couple of days after my shot weird this just started i can no longer get free samples of this so i will be switching to farxiga it is bittersweet having to go off of this medication i have tried victoza trulicity too trulicity equalled heartburn victoza no symptoms but very little weight loss,7,positive,132,0,0
Amlodipine,High Blood Pressure,i take 10 mg amlodipine daily 300 mg irbesartan and 20 mg nebivolol daily the amlodipine seems to do me the most good there is some ankle swelling i am a 76 yr old male,10,positive,35,1,0
Dulaglutide,Type 2 Diabetes,i was put on trulicity because i had an allergic reaction to medformin and tragenta i had so much anxiety about taking trulicity after reading the reviews i took my first shot on thursday and today is sunday i have had mini'mal side effects i felt a little achy in my shoulders and next but it only lasted days i have not had any of the other side effects it does curb your appetite but not to where i can not eat when i would wake up in the morning my readings would range from 140-158 and now that are around 110-115 which is amazing i would wake up with headaches and no more headaches i am very pleased with the results and very thankful for mini'mal side effects,9,positive,129,1,0
